perfume,brand,url,img,Type,Animal,Aquatic,Floral,Chypre,Creamy,Earthy,Fougère,Fresh,Fruity,Gourmand,Green,Resinous,Woody,Leathery,Oriental,Powdery,Smoky,Sweet,Synthetic,Spicy,Citrus,Audience,Youthful,Mature,Feminine,Masculine,Season,Spring,Summer,Fall,Winter,Occasion,Evening,Business,Night Out,Leisure,Sport,Daily,description,gender,perfumers,main_accords,top_notes,heart_notes,base_notes,scent,longevity,sillage,bottle,vfm
Khamrah,Lattafa / لطافة,https://www.parfumo.com/Perfumes/Lattafa/khamrah,https://pimages.parfumo.de/240/170634_img-7789-lattafa-khamrah_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Khamrah is a popular perfume by Lattafa / لطافة for women and men and was released in 2022. The scent is sweet-gourmand. Projection and longevity are above-average. The production was apparently discontinued.,['unisex'],[''],"['Sweet', 'Gourmand', 'Oriental', 'Spicy', 'Creamy']","['Cinnamon', 'Nutmeg', 'Bergamot']","['Date', 'Praliné', 'Mahonial®', 'Tuberose']","['Roasted tonka bean', 'Vanilla', 'Amberwood', 'Benzoin Siam', 'Akigalawood®', 'Myrrh']",8.1,8.5,8.2,8.2,9.2
Gentleman Givenchy Réserve Privée,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/gentleman-givenchy-reserve-privee,https://pimages.parfumo.de/240/158077_img-4050-givenchy-gentleman-givenchy-eau-de-parfum-reserve-privee_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gentleman Givenchy Réserve Privée is a popular perfume by Givenchy for men and was released in 2022. The scent is sweet-spicy. It is being marketed by LVMH.  ,['male'],"['Nathalie Lorson', 'Olivier Cresp']","['Sweet', 'Spicy', 'Powdery', 'Woody', 'Creamy']",['Italian bergamot'],"['Chestnut', 'Italian iris concrete', 'Benzoin Siam']","['Indonesian patchouli', 'Virginia cedar', 'Haitian vetiver']",8.3,7.9,7.6,8.1,7.9
Le Vestiaire - Babycat,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/le-vestiaire-babycat,https://pimages.parfumo.de/240/165985_img-6354-yves-saint-laurent-le-vestiaire-babycat_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Le Vestiaire - Babycat is a popular perfume by Yves Saint Laurent for women and men and was released in 2022. The scent is sweet-smoky. Projection and longevity are above-average. It is being marketed by L'Oréal.  ,['unisex'],['Dominique Ropion'],"['Sweet', 'Smoky', 'Spicy', 'Resinous', 'Leathery']","['Elemi resin', 'Black pepper', 'Pink pepper']","['Frankincense', 'Frankincense resin', 'Saffron']","['Vanilla', 'Cedarwood', 'Suede']",8.2,8.5,8.1,8.3,6.9
Torino22,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/torino22,https://pimages.parfumo.de/240/187656_img-6167-xerjoff-join-the-club-torino22_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Torino22 is a popular perfume by XerJoff for women and men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is still in production.,['unisex'],[''],"['Sweet', 'Spicy', 'Woody', 'Fresh', 'Creamy']","['Saffron', 'Eucalyptus', 'Bergamot']","['Clary sage', 'Maté', 'Gaiac wood']","['Musk', 'Dry woods']",8.2,8.3,7.9,9.1,7.1
Isola Blu  Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/isola-blu-parfum-oligarch-parfum,https://pimages.parfumo.de/240/160177_img-3837-roja-parfums-isola-blu-parfum-oligarch-parfum_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isola Blu (Parfum) is a popular perfume by Roja Parfums for women and men and was released in 2022. The scent is fresh-citrusy. The longevity is above-average. It is still in production.  ,['unisex'],['Roja Dove'],"['Fresh', 'Citrus', 'Spicy', 'Green', 'Woody']","['Lime', 'Bergamot', 'Lavender', 'Thyme', 'Lemon']","['Blackcurrant', 'Champaca flower', 'Orange blossom', 'Apple', 'Coconut', 'Grasse jasmine', 'Lily']","['Juniper berry', 'Ambergris', 'Cedarwood', 'Grass', 'Musk', 'Patchouli', 'Pink pepper', 'Amber', 'Aniseed', 'Birch', 'Galbanum', 'Iris', 'Leather', 'Maté', 'Oakmoss', 'Vanilla', 'Tonka bean']",8.7,8.1,7.7,9.3,5.7
Le Beau Le Parfum,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-beau-le-parfum,https://pimages.parfumo.de/240/160888_img-7369-jean-paul-gaultier-le-beau-le-parfum_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Le Beau Le Parfum is a popular perfume by Jean Paul Gaultier for men and was released in 2022. The scent is sweet-fruity. The longevity is above-average. It is being marketed by Puig.  ,['male'],['Quentin Bisch'],"['Sweet', 'Fruity', 'Creamy', 'Fresh', 'Synthetic']",[''],[''],"['Coconut', 'Pineapple', 'Tonka bean', 'Ambergris', 'Ginger', 'Iris', 'Sandalwood', 'Cypress', 'Patchouli']",8.1,8.1,7.8,8.9,8.0
Paradoxe,Prada,https://www.parfumo.com/Perfumes/Prada/paradoxe,https://pimages.parfumo.de/240/180847_img-6981-prada-paradoxe_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paradoxe is a perfume by Prada for women and was released in 2022. The scent is sweet-floral. It is being marketed by L'Oréal.  ,['female'],"['Nadège Le Garlantezec', 'Antoine Maisondieu', 'Shyamala Maisondieu']","['Sweet', 'Floral', 'Fruity', 'Synthetic', 'Fresh']","['Pear', 'Tangerine', 'Calabrian bergamot']","['Jasmine sambac absolute', 'Tunisian orange blossom absolute', 'Bitter orange blossom', 'Neroli']","['Ambrofix', 'Bourbon vanilla', 'Serenolide', 'Benzoin Siam']",6.8,7.4,7.2,6.9,6.4
Terre d'Hermès Eau Givrée,Hermès,https://www.parfumo.com/Perfumes/Hermes/terre-d-hermes-eau-givree,https://pimages.parfumo.de/240/164275_img-5053-hermes-terre-d-hermes-eau-givree_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terre d'Hermès Eau Givrée is a popular perfume by Hermès for men and was released in 2022. The scent is citrusy-fresh. It is still in production.  ,['male'],['Christine Nagel'],"['Citrus', 'Fresh', 'Woody', 'Spicy', 'Green']",[''],[''],"['Citron', 'Juniper berry', 'Nepalese sichuan pepper']",8.3,7.1,6.8,7.9,7.4
XXI: Art Deco - Blonde Amber,Clive Christian,https://www.parfumo.com/Perfumes/Clive_Christian/xxi-art-deco-blonde-amber,https://pimages.parfumo.de/240/169035_img-6593-clive-christian-noble-xxi-art-deco-blonde-amber_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XXI: Art Deco - Blonde Amber is a popular perfume by Clive Christian for women and men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is still in production.,['unisex'],[''],"['Sweet', 'Spicy', 'Creamy', 'Oriental', 'Floral']",[''],[''],"['Amber', 'Dried fruits', 'Tonka bean', 'Blond tobacco', 'Tuberose', 'Bitter orange', 'Jasmine']",9.0,8.3,8.0,8.9,5.3
Gris Charnel  Extrait,bdk Parfums,https://www.parfumo.com/Perfumes/bdk_Parfums/gris-charnel-extrait,https://pimages.parfumo.de/240/166507_img-7932-bdk-parfums-gris-charnel-extrait_240.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gris Charnel (Extrait) is a popular perfume by bdk Parfums for women and men and was released in 2022. The scent is spicy-woody. Projection and longevity are above-average. It is still in production.  ,['unisex'],"['Mathilde Bijaoui', 'Mane']","['Spicy', 'Woody', 'Sweet', 'Creamy', 'Smoky']","['Cardamom', 'Black tea', 'Fig']","['Iris tingitana absolute', 'Bourbon vetiver', 'Cistus']","['Bourbon vanilla absolute', 'Indian sandalwood', 'Indonesian patchouli', 'American cedar', 'Tonka bean absolute']",8.5,8.5,8.0,8.2,7.2
